sizeRank,regionID,regionName,regionType,stateName,date,totalListings
1,3101,Los Angeles County,County,CA,2013-01,18437
1,3101,Los Angeles County,County,CA,2013-02,18967
1,3101,Los Angeles County,County,CA,2013-03,17622
1,3101,Los Angeles County,County,CA,2013-04,18035
1,3101,Los Angeles County,County,CA,2013-05,19167
1,3101,Los Angeles County,County,CA,2013-06,18647
1,3101,Los Angeles County,County,CA,2013-07,20231
1,3101,Los Angeles County,County,CA,2013-08,19780
1,3101,Los Angeles County,County,CA,2013-09,19513
1,3101,Los Angeles County,County,CA,2013-10,21161
1,3101,Los Angeles County,County,CA,2013-11,18405
1,3101,Los Angeles County,County,CA,2013-12,16412
1,3101,Los Angeles County,County,CA,2014-01,17782
1,3101,Los Angeles County,County,CA,2014-02,17569
1,3101,Los Angeles County,County,CA,2014-03,19113
1,3101,Los Angeles County,County,CA,2014-04,21689
1,3101,Los Angeles County,County,CA,2014-05,20113
1,3101,Los Angeles County,County,CA,2014-06,21453
1,3101,Los Angeles County,County,CA,2014-07,23963
1,3101,Los Angeles County,County,CA,2014-08,22469
1,3101,Los Angeles County,County,CA,2014-09,22062
1,3101,Los Angeles County,County,CA,2014-10,23273
1,3101,Los Angeles County,County,CA,2014-11,21056
1,3101,Los Angeles County,County,CA,2014-12,18883
1,3101,Los Angeles County,County,CA,2015-01,18129
1,3101,Los Angeles County,County,CA,2015-02,17805
1,3101,Los Angeles County,County,CA,2015-03,18214
1,3101,Los Angeles County,County,CA,2015-04,21164
1,3101,Los Angeles County,County,CA,2015-05,19341
1,3101,Los Angeles County,County,CA,2015-06,20384
1,3101,Los Angeles County,County,CA,2015-07,22767
1,3101,Los Angeles County,County,CA,2015-08,21560
1,3101,Los Angeles County,County,CA,2015-09,22269
1,3101,Los Angeles County,County,CA,2015-10,20399
1,3101,Los Angeles County,County,CA,2015-11,19182
1,3101,Los Angeles County,County,CA,2015-12,17281
1,3101,Los Angeles County,County,CA,2016-01,15157
1,3101,Los Angeles County,County,CA,2016-02,15843
1,3101,Los Angeles County,County,CA,2016-03,17944
1,3101,Los Angeles County,County,CA,2016-04,17720
1,3101,Los Angeles County,County,CA,2016-05,18253
1,3101,Los Angeles County,County,CA,2016-06,21646
1,3101,Los Angeles County,County,CA,2016-07,21363
1,3101,Los Angeles County,County,CA,2016-08,23288
1,3101,Los Angeles County,County,CA,2016-09,20565
1,3101,Los Angeles County,County,CA,2016-10,19588
1,3101,Los Angeles County,County,CA,2016-11,19219
1,3101,Los Angeles County,County,CA,2016-12,15334
1,3101,Los Angeles County,County,CA,2017-01,15086
1,3101,Los Angeles County,County,CA,2017-02,15546
1,3101,Los Angeles County,County,CA,2017-03,17354
1,3101,Los Angeles County,County,CA,2017-04,15963
1,3101,Los Angeles County,County,CA,2017-05,17964
1,3101,Los Angeles County,County,CA,2017-06,17219
1,3101,Los Angeles County,County,CA,2017-07,16887
1,3101,Los Angeles County,County,CA,2017-08,18483
1,3101,Los Angeles County,County,CA,2017-09,16601
1,3101,Los Angeles County,County,CA,2017-10,16172
1,3101,Los Angeles County,County,CA,2017-11,15807
1,3101,Los Angeles County,County,CA,2017-12,12001
1,3101,Los Angeles County,County,CA,2018-01,13925
1,3101,Los Angeles County,County,CA,2018-02,13990
1,3101,Los Angeles County,County,CA,2018-03,14660
1,3101,Los Angeles County,County,CA,2018-04,15690
1,3101,Los Angeles County,County,CA,2018-05,18205
1,3101,Los Angeles County,County,CA,2018-06,17980
1,3101,Los Angeles County,County,CA,2018-07,18783
1,3101,Los Angeles County,County,CA,2018-08,20830
1,3101,Los Angeles County,County,CA,2018-09,19708
1,3101,Los Angeles County,County,CA,2018-10,21533
1,3101,Los Angeles County,County,CA,2018-11,19162
1,3101,Los Angeles County,County,CA,2018-12,16735
1,3101,Los Angeles County,County,CA,2019-01,18158
1,3101,Los Angeles County,County,CA,2019-02,17564
1,3101,Los Angeles County,County,CA,2019-03,17951
1,3101,Los Angeles County,County,CA,2019-04,18457
1,3101,Los Angeles County,County,CA,2019-05,20337
1,3101,Los Angeles County,County,CA,2019-06,18745
1,3101,Los Angeles County,County,CA,2019-07,21015
1,3101,Los Angeles County,County,CA,2019-08,19056
