year,region,medianIncome
2017,us,73891
2017,california,82009
2017,losangelesCounty,72816
2016,us,72591
2016,california,79023
2016,losangelesCounty,70283
2015,us,70627
2015,california,76133
2015,losangelesCounty,68071
2014,us,68313
2014,california,73604
2014,losangelesCounty,64566
2013,us,67488
2013,california,71906
2013,losangelesCounty,64075
2012,us,66880
2012,california,70825
2012,losangelesCounty,63993
2011,us,67126
2011,california,71518
2011,losangelesCounty,63626
2010,us,68289
2010,california,73778
2010,losangelesCounty,65626
2009,us,69958
2009,california,76779
2009,losangelesCounty,68808
2008,us,72321
2008,california,79926
2008,losangelesCounty,70690
2007,us,72500
2007,california,79979
2007,losangelesCounty,71422
2006,us,71330
2006,california,78688
2006,losangelesCounty,69385
